Intel® Product Specification Comparison
09/02/2026 07:42:58 PM
 ,Intel® Xeon® 6333P Processor ,Intel® Xeon® 6315P Processor ,Intel® Xeon® 6325P Processor ,Intel® Xeon® 6357P Processor ,Intel® Xeon® 6353P Processor ,Intel® Xeon® 6349P Processor ,Intel® Xeon® 6337P Processor ,Intel® Xeon® 6369P Processor ,Intel® Xeon® 6747P Processor ,Intel® Xeon® 6521P Processor ,Intel® Xeon® 6530P Processor ,Intel® Xeon® 6520P Processor ,Intel® Xeon® 6732P Processor ,Intel® Xeon® 6527P Processor ,Intel® Xeon® 6517P Processor ,Intel® Xeon® 6511P Processor ,Intel® Xeon® 6505P Processor ,Intel® Xeon® 6507P Processor ,Intel® Xeon® 6515P Processor ,Intel® Xeon® 6724P Processor ,Intel® Xeon® 6714P Processor ,Intel® Xeon® 6944P Processor ,Intel® Xeon® 6726P-B Processor ,Intel® Xeon® 6503P-B Processor ,Intel® Xeon® 6516P-B Processor ,Intel® Xeon® 6533P-B Processor ,Intel® Xeon® 6523P-B Processor ,Intel® Xeon® 6546P-B Processor ,Intel® Xeon® 6543P-B Processor ,Intel® Xeon® 6553P-B Processor ,Intel® Xeon® 6706P-B Processor ,Intel® Xeon® 6563P-B Processor ,Intel® Xeon® 6556P-B Processor ,Intel® Xeon® 6716P-B Processor ,Intel® Xeon® 6513P-B Processor ,Intel® Xeon® 6745P Processor ,Intel® Xeon® 6776P Processor ,Intel® Xeon® 6774P Processor ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Xeon® 698X Processor ,Intel® Xeon® 6532P-B Processor ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Xeon® 696X Processor ,Intel® Xeon® 676X Processor ,Intel® Xeon® 678X Processor ,Intel® Xeon® 636 Processor ,Intel® Xeon® 638 Processor ,Intel® Xeon® 656 Processor ,Intel® Xeon® 654 Processor ,Intel® Xeon® 658X Processor ,Intel® Xeon® 674X Processor ,Intel® Xeon® 6962P Processor ,Intel® Xeon® 6978P Processor ,Intel® Xeon® 634 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel® Xeon® 6548P-B Processor ,Intel® Xeon® 6725P Processor ,Intel® Xeon® 6776P-B Processor ,Intel® Xeon® 6766P-B Processor ,Intel® Xeon® 6756P-B Processor ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Xeon® 6544P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Xeon® 6768P-B Processor ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel® Xeon® 6990E+ processor ,Intel® Xeon® 6980E+ processor ,Intel® Xeon® 6960E+ processor ,Intel® Xeon® 6970E+ processor ,Intel® Xeon® 6503P processor ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Xeon® 6377P Processor 
Essentials
Product Collection,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Core™ Ultra Series 3 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Arc™ G3 Processor Series,Intel® Arc™ G3 Processor Series,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Series 3 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Xeon® 6 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel® Core™ processors (Series 3),Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel® Xeon® 6+ processors,Intel® Xeon® 6+ processors,Intel® Xeon® 6+ processors,Intel® Xeon® 6+ processors,Intel® Xeon® 6 processors,Intel® Core™ processors (Series 3),Intel® Core™ Ultra Series 3 processors,Intel® Xeon® 6 processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Desktop,Workstation,Server,Mobile,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Server,Server,Workstation,Embedded,Embedded,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Embedded,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Mobile,Embedded,Embedded,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Server,Server,,,,,Server,Mobile,Mobile,
Processor Number,6333P,6315P,6325P,6357P,6353P,6349P,6337P,6369P,6747P,6521P,6530P,6520P,6732P,6527P,6517P,6511P,6505P,6507P,6515P,6724P,6714P,6944P,6726P-B,6503P-B,6516P-B,6533P-B,6523P-B,6546P-B,6543P-B,6553P-B,6706P-B,6563P-B,6556P-B,6716P-B,6513P-B,6745P,6776P,6774P,P6952-3,P6942-3,P6962-3,P6962-5,235TA,235A,698X,6532P-B,235UA,696X,676X,678X,636,638,656,654,658X,674X,6962P,6978P,634,X7835FE,X7433FE,6548P-B,6725P,6776P-B,6766P-B,6756P-B,368H,388H,358H,386H,366H,338H,356H,336H,6544P-B,6718P-B,6518P-B,G3 Extreme,G3,250KF PLUS,270K PLUS,250K PLUS,365,223PQE,213PE,322,273PE,332,273PTE,325,223PTE,355,253PTE,273PQE,253PE,213PTE,335,223PE,253PQE,6768P-B,251HX,290HX Plus,270HX Plus,360,330,350,320,305,304,P6942-5,P6922-3,6990E+,6980E+,6960E+,6970E+,6503P,315,378H,6377P
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 4,Intel 4,Intel 4,Intel 4,,,Intel 3,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 7,Intel 7,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,,,,,,,,,Intel 3,Intel 3,Intel 3,,,,,,,,,,,,,,,,,,,,,,,Intel 3,,,,,,,,,,Intel 4,Intel 4,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 3,,,Intel 7
Brief Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Peak TOPS (Int8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,36,30,,,,,,,,,,,,,,,,,,,30,36,33,,,,,,,,,,,,,,,,

CPU Specifications
Total Cores,6,4,4,8,8,6,6,8,48,24,32,24,32,24,16,16,12,8,16,16,8,72,42,12,20,32,24,32,32,36,40,38,36,40,20,32,64,64,20,16,24,24,14,14,86,32,10,64,32,48,12,16,20,18,24,28,72,120,12,8,4,32,16,72,64,64,16,16,16,16,16,12,16,12,32,40,20,14,14,18,24,18,8,8,8,6,12,6,12,8,8,8,10,12,10,8,8,8,10,64,18,24,20,6,6,6,6,6,5,16,8,288,264,144,192,8,6,16,12
