Intel® Product Specification Comparison
09/02/2026 07:45:25 PM
 ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2535 Processor ,Intel® Xeon® w5-2555X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w5-2565X Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3555 Processor ,Intel® Xeon® w7-3565X Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Core™ 3 Processor N350 ,Intel® Core™ 3 Processor N355 ,Intel® Xeon® 6952P Processor ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Xeon® 6741P Processor ,Intel® Xeon® 6730P Processor ,Intel® Xeon® 6781P Processor ,Intel® Xeon® 6760P Processor ,Intel® Xeon® 6788P Processor ,Intel® Xeon® 6740P Processor ,Intel® Xeon® 6768P Processor ,Intel® Xeon® 6761P Processor ,Intel® Xeon® 6787P Processor ,Intel® Xeon® 6767P Processor ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ 9 processor 270H ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Xeon® 6737P Processor ,Intel® Xeon® 6738P Processor ,Intel® Xeon® 6731P Processor ,Intel® Xeon® 6748P Processor ,Intel® Xeon® 6736P Processor ,Intel® Xeon® 6728P Processor ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E 
Essentials
Product Collection,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Core™ processors (Series 2),Intel® Core™ i7 processors (14th gen),Intel® Core™ i7 processors (14th gen),Intel® Core™ processors (Series 2),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i5 processors (14th gen),Intel® Core™ i9 processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Processor N-series,Intel® Processor N-series,Intel® Core™ Processor N-series,Intel® Core™ Processor N-series,Intel® Xeon® 6 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Core™ Ultra Processors (Series 2),Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Xeon® 6 processors,Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2),Intel® Core™ processors (Series 2)
Vertical Segment,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Embedded,Embedded,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Server,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,w5-2545,w7-2595X,w7-2575X,w3-2535,w5-2555X,w3-2525,w5-2565X,X7213RE,X7433RE,X7835RE,X7203C,X7211RE,250U,i7-14701TE,i7-14701E,220U,i5-14401E,i9-14901TE,i5-14401TE,i5-14501TE,i5-14501E,i9-14901E,150HL,120HL,100HL,160HL,130HL,6740E,6756E,6780E,6710E,6766E,6731E,6746E,w9-3595X,w5-3535X,w5-3525,w7-3555,w7-3565X,w7-3545,w9-3575X,6960P,6980P,6979P,6972P,238V,256V,228V,266V,258V,268V,236V,226V,288V,285T,285K,285,265KF,265K,265F,265T,245KF,245K,265,225F,225,N150,N250,N350,N355,6952P,250H,210H,240H,220H,235,285H,235H,225H,265H,255H,6741P,6730P,6781P,6760P,6788P,6740P,6768P,6761P,6787P,6767P,265U,255U,225U,235U,225T,235T,245T,245,270H,255HX,275HX,265HX,245HX,235HX,285HX,6737P,6738P,6731P,6748P,6736P,6728P,211E,221E,221TE,201TE,251TE,211TE,251E,201E
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,Intel 7,Intel 7,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,,,,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 3,Intel 3,Intel 3,Intel 3,,,,,,,,,,,,,,,,,,,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 3,,,Intel 7,,,,,,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,,,,,,,,,Intel 7,,,,,,,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,Intel 3,,,,,,,,
Overall Peak TOPS (Int8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,115,97,118,115,118,97,97,120,35,36,36,25,33,25,33,22,30,33,19,23,,,,,,,,,,27,99,94,83,97,96,,,,,,,,,,,24,24,24,24,23,27,29,29,,33,36,33,27,27,36,,,,,,,,,,,,,,
Recommended Customer Price,$978.00,$2243.00-$2253.00,$1858.00-$1868.00,$813.00,$1176.00-$1186.00,$670.00,$1473.00-$1483.00,$54.00,$72.00,$127.00,$45.00,$48.00,,$392.00,$392.00,,$228.00,$557.00,$228.00,$239.00,$239.00,$557.00,$430.00,$279.00,$306.00,$457.00,$311.00,$4423.00,$7078.00,$9535.00,$2463.00,$8615.00,$3693.00,$4981.00,$6478.00,$1858.00-$1868.00,$1468.00,$2573.00,$2958.00-$2968.00,$2243.00,$4168.00-$4178.00,$10780.00,$13955.00,,$11446.00,,,,,,,,,,$549.00,$589.00-$599.00,$549.00-$579.00,$379.00-$389.00,$394.00-$404.00,$369.00-$379.00,$384.00,$294.00-$304.00,$309.00-$319.00,$384.00-$394.00,$165.00-$221.00,$183.00-$236.00,,,,,$10209.00,,,,,$247.00-$257.00,,,,,,$4952.00,$4173.00,$10035.00,$8739.00,$21280.00,$5208.00,$17920.00,$7358.00,$11648.00,$10746.00,,,,,$236.00,$247.00,$270.00,$270.00,,,,,,,,$5594.00,$7325.00,$3024.00,$14226.00,$3753.00,$2775.00,$221.00,$232.00,$232.00,$134.00,$384.00,$221.00,$384.00,$134.00

CPU Specifications
Total Cores,12,26,22,10,14,8,18,2,4,8,2,2,10,8,8,10,6,8,6,6,6,8,14,12,8,14,12,96,128,144,64,144,96,112,60,20,16,28,32,24,44,72,128,120,96,8,8,8,8,8,8,8,8,8,24,24,24,20,20,20,20,14,14,20,10,10,4,4,8,8,96,14,8,10,12,14,16,14,14,16,16,48,32,80,64,86,48,64,64,86,64,12,12,12,12,10,14,14,14,14,20,24,20,14,14,24,32,32,32,48,36,24,10,14,14,4,24,10,24,4
