Intel® Product Specification Comparison
09/02/2026 07:45:39 PM
 ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ 5 processor 120UL ,Intel® Core™ 7 processor 150UL ,Intel® Core™ 5 processor 130UL ,Intel® Processor U300L ,Intel® Core™ 3 processor 100UL ,Intel® Processor U302L ,Intel® Processor U303L ,Intel® Processor U301L ,Intel® Core™ 7 processor 160UL ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL 
Essentials
Product Collection,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel® Core™ i9 processors (14th gen),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Core™ processors (Series 1),Intel® Processor U-series,Intel® Core™ processors (Series 1),Intel® Processor U-series,Intel® Processor U-series,Intel® Processor U-series,Intel® Core™ processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1),Intel® Core™ Ultra processors (Series 1)
Vertical Segment,Embedded,Embedded,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,X7809C,X7405C,i9-14900KS,120UL,150UL,130UL,U300L,100UL,U302L,U303L,U301L,160UL,105UL,125HL,125UL,135HL,135UL,155HL,155UL,165HL,165UL
Lithography,Intel 7,Intel 7,Intel 7,,,,,,,,,,,,,,,,,,
Recommended Customer Price,$117.00,$66.00,$689.00-$699.00,$277.00,$399.00,$309.00,$107.00,$285.00,$285.00,$285.00,$107.00,$426.00,$295.00,$325.00,$309.00,$341.00,$331.00,$438.00,$426.00,$459.00,$447.00

CPU Specifications
Total Cores,8,4,24,10,10,10,5,6,5,5,5,10,8,14,12,14,12,16,12,16,12
Max Turbo Frequency,3.6 GHz,3.4 GHz,6.2 GHz,4.6 GHz,5 GHz,4.7 GHz,4.4 GHz,4.5 GHz,2.4 GHz,2.6 GHz,2.2 GHz,5.2 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
Cache,6 MB,6 MB,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,10 MB Intel® Smart Cache,10 MB,12 MB,8 MB,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache
TDP,25 W,12 W,,,,,,,,,,,,,,,,,,,
# of Performance-cores,,,8,2,2,2,1,2,1,1,1,2,2,4,2,4,2,6,2,6,2
# of Efficiency-cores,,,16,8,8,8,4,4,4,4,4,8,4,8,8,8,8,8,8,8,8
Total Threads,,,32,12,12,12,6,8,6,6,6,12,10,18,14,18,14,22,14,22,14
Intel® Thermal Velocity Boost Frequency,,,6.2 GHz,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,5.9 GHz,,,,,,,,,,,,,,,,,,
Single P-core Turbo Frequency,,,5.7 GHz,4.6 GHz,5 GHz,4.7 GHz,4.4 GHz,4.5 GHz,2.4 GHz,2.6 GHz,2.2 GHz,5.2 GHz,4.2 GHz,4.5 GHz,4.3 GHz,4.6 GHz,4.4 GHz,4.8 GHz,4.8 GHz,5 GHz,4.9 GHz
Single E-core Turbo Frequency,,,4.5 GHz,3.4 GHz,3.7 GHz,3.5 GHz,3.3 GHz,3.3 GHz,1.8 GHz,2 GHz,1.6 GHz,3.9 GHz,3.5 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.6 GHz,3.8 GHz,3.8 GHz,3.8 GHz,3.8 GHz
P-core Base Frequency,,,3.2 GHz,,,,,,,,,,1.5 GHz,2.5 GHz,1.3 GHz,1.7 GHz,1.6 GHz,2.4 GHz,1.7 GHz,1.4 GHz,1.7 GHz
E-core Base Frequency,,,2.4 GHz,,,,,,,,,,1 GHz,700 MHz,800 MHz,1.2 GHz,1.1 GHz,900 MHz,1.2 GHz,900 MHz,1.2 GHz
Total L2 Cache,,,32 MB,,,,,,,,,,,,,,,,,,
Processor Base Power,,,150 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W,45 W,15 W
Maximum Turbo Power,,,253 W,55 W,55 W,55 W,55 W,55 W,55 W,55 W,55 W,55 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W,115 W,57 W
